course_name,course_code,description,learning_objectives,level,faculty,program,url
Railway Operations and Control,CIEQ6233,"Railway safety and signalling
Railway safety principles
Train separation, Route safety, Automatic train protection
Blocking time theory
Railway capacity assessment
Next generation signalling (ERTMS, CBTC, Virtual Coupling)
Railway automation
Automatic Train Operation
Grades of Automation
ATO-over-ETCS
Railway traffic Control
Migration to ERTMS and ATO
Coordination in the railway value chain
Railway governance
Railway policy
Railway value chains
Short-term, Mid-term and Long-term coordination
This unit will underline the impacts of railway signalling and automation on railway performance and public safety, making the
students aware of the responsibilities and ethical implications related to the introduction of fully automated railway operations.
Roles and responsibilities of the different railway system components and stakeholders are introduced, alongside with potential
conflicts of interest in the railway business. Regulations and policies over the entire railway value chain are discussed in line
with international objectives on sustainable mobility.","LO1: Assess railway safety and signalling systems
LO2: Assess railway automation
LO3: Analyse railway value chains and coordination misalignments
LO4: Evaluate railway governance and main policy options
LO5: Evaluate migration issues, including ERTMS and ATO",Master,Civil Engineering and Geosciences,"Master Transport, Infrastructure & Logistics",
Railway Operations and Control,CIEQ6233,"Railway safety and signalling
Railway safety principles
Train separation, Route safety, Automatic train protection
Blocking time theory
Railway capacity assessment
Next generation signalling (ERTMS, CBTC, Virtual Coupling)
Railway automation
Automatic Train Operation
Grades of Automation
ATO-over-ETCS
Railway traffic Control
Migration to ERTMS and ATO
Coordination in the railway value chain
Railway governance
Railway policy
Railway value chains
Short-term, Mid-term and Long-term coordination
This unit will underline the impacts of railway signalling and automation on railway performance and public safety, making the
students aware of the responsibilities and ethical implications related to the introduction of fully automated railway operations.
Roles and responsibilities of the different railway system components and stakeholders are introduced, alongside with potential
conflicts of interest in the railway business. Regulations and policies over the entire railway value chain are discussed in line
with international objectives on sustainable mobility.","LO1: Assess railway safety and signalling systems
LO2: Assess railway automation
LO3: Analyse railway value chains and coordination misalignments
LO4: Evaluate railway governance and main policy options
LO5: Evaluate migration issues, including ERTMS and ATO",Master,Civil Engineering and Geosciences,"Master Transport, Infrastructure & Logistics",
Collaborative Design and Engineering,CME1201,"In this course, students learn how to collaborate in large multidisciplinary teams on an ill-defined engineering assignment. Each
group has to deal with an overload of information that needs to be structured in the design process, in order to identify the
underlying engineering problem and present a solution to a client in an effective and efficient way. During the course, students
are taught how to identify bad team performance and its effect on the design process, and how to intervene. Students are
introduced to the field of Group Dynamics in a series of three workshops (Partnering Charter; Belbin-test; giving and receiving
feedback) in the first half of the course. The outcomes of the workshops help students to organize the creation of joint
deliverables: Partnering Charter, Project Management Plan, Phase I-report (analysis) and Phase II-report (design-solutions).
Overall, students are exposed to an experience of intensive groupwork. Grading is based both on group and individual
performance.","After the course, students have gained an understanding of how to personally navigate and streamline collaborative design
processes in a complex environment. Collaborative skills include: knowing how to identify shared values in a large group by
making a partnering charter; how to reflect on ones personal role and behavior in a group; and how to give and receive feedback.
Moreover, students learn how to acknowledge and successfully deal with different forms of disciplinary knowledge in their
group. Students are thus prepared for the realities of practice where engineering assignments tend to ill-defined in the early
stages of a project, and multidisciplinary collaboration is a indispensable.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Research Internship,CME2100-11,"This research internship focusses on practical work experience in day-to-day practice of civil engineering companies or institutes
(contractors, consultancies, government, non-governmental organizations, etc.) in the Netherlands or abroad.
As the title suggests: (a major part of) the practical work is dedicated to an individual (research) assignment, to be agreed upon
with the internship coordinator and TUD subject supervisor, following the steps of the internship manual.","The main objectives are
* to develop your general engineering skills,
* to develop your research skills,
* to learn how to apply your technological know-how,
* to put into practice any social and communicative skills you might have,
* to gain a more complete insight into your own particular preferences and capabilities.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Dynamic Control of Projects,CME2201,"Sketching the context: Each project (green field, brown field) is an intervention in an existing situation. The aim is to incorporate
a system into an existing environment. This environment is increasingly complex, hence influencing the project.
A project is a specific and unique development, for a unique client, on a unique location, with a unique goal, to solve a unique
problem, with a unique problem solver, etc. A project needs time for the development with a number of subsequent phases:
design, engineering, implementation, etc. In most cases:
(1) the state of the environment (politics, stakeholders, regulations, etc.) at the start of a project is totally different from the state
of the environment during the project, at the end of the project and certainly during the operation phase during the lifetime of the
system,
(2) the information and knowledge about the desired system in its environment increases dramatically during the project, which
leads to different views and options and
(3) the state of the technology to be applied in a project changes during a project.
As a consequence, we often develop systems with the ideas of yesterday and with todays technology for tomorrows people. And
that's where dynamic control comes into place: we need to be able to act dynamically: the only certainty we have is that
uncertainty will hit our projects!
To create value, we should not only work dynamically in an adaptive way with continuous change, but also take care that the
systems we deliver are adaptable to changing circumstances. Inevitably, the traditional project management should realize that
the construction world will also be a part of the new short-cyclic and circular economy. We need to play with complexity; allow
for more dynamic approaches in project management and to strive for solutions that maximize value.","After this course you are able to:
1. Explain the dynamic character of a project, a product and a process,
2. Perform a complexity assessment on a real life complex project,
3. Recognise the relations between complex project systems and higher scale (context)systems,
4. Apply methods to deal with the effectiveness and efficiency of projects in a fast changing world,
5. Choose management approaches to deal with different types of project complexity (fit for purpose),
6. Describe the advantages and disadvantages of innovative ways for collaboration and contract types in complex environments.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Financial Engineering,CME2300,"This course deals with the finance issues related to the implementation of civil engineering projects. It introduces economic
engineering concepts and finance-related topics such as project financing and financial accounting. This course requires the
student to study in detail:
#(cid:9)Finance and the firm, covering topics such as sources of finance, cost of finance, financial structures, working capital
management and financial accounting
#(cid:9)Capital Budgeting Decisions and Risk, covering topics such as Capital Budgeting, Political and Social factors, Portfolio
Management and Risk Considerations
#(cid:9)Project finance, covering topics such as international capital markets, stakeholder/actors viewpoints and cash flow modelling of
projects including characteristics of typical projects like oil wells, open mining, infrastructure and office buildings
#(cid:9)Future trend topics for finance, especially implications of sustainability and circularity","The final attainments of this course that students are able to:
#(cid:9)Understand the financing and financial implications of civil engineering projects from both a firm and a project perspective,
including perspectives from financial involved actors
#(cid:9)Create a cash flow overview from cost engineering information
#(cid:9)Apply investment and financing analytical techniques
#(cid:9)Assess a project proposal and investment strategies
#(cid:9)Apply risk analytical techniques on financial data of a project or proposal
#(cid:9)Understand the project life-cycle and its impact on and relationship with project finance
#(cid:9)Apply and understand the valuation of (financial) assets and projects under uncertainty.
#(cid:9)The ability of students to deal with uncertain political and social factors and financial risks
#(cid:9)Understand future financing and business trends with regards to sustainability and circularity",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Financial Engineering,CME2300,"This course deals with the finance issues related to the implementation of civil engineering projects. It introduces economic
engineering concepts and finance-related topics such as project financing and financial accounting. This course requires the
student to study in detail:
#(cid:9)Finance and the firm, covering topics such as sources of finance, cost of finance, financial structures, working capital
management and financial accounting
#(cid:9)Capital Budgeting Decisions and Risk, covering topics such as Capital Budgeting, Political and Social factors, Portfolio
Management and Risk Considerations
#(cid:9)Project finance, covering topics such as international capital markets, stakeholder/actors viewpoints and cash flow modelling of
projects including characteristics of typical projects like oil wells, open mining, infrastructure and office buildings
#(cid:9)Future trend topics for finance, especially implications of sustainability and circularity","The final attainments of this course that students are able to:
#(cid:9)Understand the financing and financial implications of civil engineering projects from both a firm and a project perspective,
including perspectives from financial involved actors
#(cid:9)Create a cash flow overview from cost engineering information
#(cid:9)Apply investment and financing analytical techniques
#(cid:9)Assess a project proposal and investment strategies
#(cid:9)Apply risk analytical techniques on financial data of a project or proposal
#(cid:9)Understand the project life-cycle and its impact on and relationship with project finance
#(cid:9)Apply and understand the valuation of (financial) assets and projects under uncertainty.
#(cid:9)The ability of students to deal with uncertain political and social factors and financial risks
#(cid:9)Understand future financing and business trends with regards to sustainability and circularity",Master,Civil Engineering and Geosciences,"Master Transport, Infrastructure & Logistics",
Project Management,CME4000,"This course focuses on the project management of construction projects. Projects, in all contemporary industry sectors and
specifically in construction, are becoming increasingly complex and challenging with the accelerated advances in technology,
new business models, forms of collaboration, availability requirements, and an augmented demand to deliver economic value
and a competitive advantage. Managing projects in this environment requires strong leadership skills and proficiency in project
management knowledge and practice to be able to achieve the project and organizational objectives on time, on budget and to the
satisfaction of stakeholders.
The course is designed to provide students with scholarly knowledge in the practice of managing construction projects in order to
enhance their career options and prepare them to move into management roles by developing their professionalism, versatility
and leadership in an environment of constant change.
The course presents the foundations of project management, as well as more advanced academic analyses on the matter and has
been developed primarily to understand the role of project management in construction. It provides an introduction to the
methods and tools of project management and how they function in the process of constructing an asset. The course provides
students with the knowledge necessary to understand how projects can be managed.
The curriculum follows the competencies required to move a project through its various stages. The course provides a thorough
exploration of project management processes and tasks. These include:
- Project organisation
- Planning tasks and control strategies
- Contracts and procurement methods
- Communication and relationships between project stakeholders.
- Risk analysis and management","Intended learning outcomes of this course are:
- Understand and apply tools and techniques to effectively analyse and manage construction and engineering projects.
- Understand the coherence and interrelatedness of technical and human aspects in managing projects and develop strategies to
manage these technical and human aspects in coherence.
- Develop management strategies to effectively deliver a construction project.
- Develop critical and strategic thinking on and insight in the application of project management tools and techniques.
- Report effectively and with a solid argumentation on developed project management strategies.
- Collaborate effectively in a team.
At the end of the course students should meet these project management learning outcomes:
- Understand and apply key-project management tools for estimation of cost and schedules of projects, as well as resource
planning to effectively develop an optimised project development and execution plan.
- Understand and apply techniques for risk analysis and assessment and risk response planning to optimise the chance of
successful project execution.
- Understand, evaluate and apply key-contributors to a project contracting and procurement strategy to effectively manage
outsourcing.
- Understand and apply a project performance monitoring technique (earned value analysis)
- Understand and apply performance control indicators by developing an advice on corrective measures
- Understand change management and develop an advice on a change request
- Understand and apply theories on:
* Project complexity
* Project value
* Conflict management
* Project organisation
* Control versus commitment",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Process Management,CME4100,"Complex construction- and engineering-related processes require collaboration between a variety of actors within a complex and
dynamic environment. An environment that is influenced by various social, political and technical factors. These actors may be
related to a process in various ways, e.g. as decision-makers, regulators, risk-taking participants and stakeholders, with diverging
interests, resources and attitudes towards the process, being affected by a process and influencing it in different ways and
degrees. In addition to the widely used project management, process management is needed to understand and adequately deal
with these characteristics.
This course aims at providing students with insights, concepts and skills needed to understand the nature of interaction in a multi
-actor system regarding the initiation and development of, and decision-making in uncertain and dynamic situations. Students
will analyse, develop and apply strategies, tools and arrangements that are part of the process management approach. There will
be special attention to transitions and adaptive systems in an infrastructure and construction environment, but the principles are
more broadly applicable.","After successfully completing this course this course, students should:
- Be able to identify and analyse the perceptions, interests, strategies and institutional conditions that shape and constrain the
behaviour of stakeholders.
- Understand the dynamics of multi-actor interaction processes in uncertain and highly politicised contexts.
- Understand information exchange in complex processes.
- Be able to cope with substantive and strategic uncertainties and to show this in description and application.
- Have developed knowledge, skills and competences on how to manage divergent and conflicting interests of stakeholders and
the ability to apply this in practice.
- Have developed competences on arriving at broadly-shared solutions.
- Understand the essentials of decision-making in multi-actor networks.
- Understand and apply theories on transition management and adaptive systems.
- Have acquired knowledge, skills and competences on arrangements and tools which support collaboration, and be able to apply
them.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Process Management,CME4100,"Complex construction- and engineering-related processes require collaboration between a variety of actors within a complex and
dynamic environment. An environment that is influenced by various social, political and technical factors. These actors may be
related to a process in various ways, e.g. as decision-makers, regulators, risk-taking participants and stakeholders, with diverging
interests, resources and attitudes towards the process, being affected by a process and influencing it in different ways and
degrees. In addition to the widely used project management, process management is needed to understand and adequately deal
with these characteristics.
This course aims at providing students with insights, concepts and skills needed to understand the nature of interaction in a multi
-actor system regarding the initiation and development of, and decision-making in uncertain and dynamic situations. Students
will analyse, develop and apply strategies, tools and arrangements that are part of the process management approach. There will
be special attention to transitions and adaptive systems in an infrastructure and construction environment, but the principles are
more broadly applicable.","After successfully completing this course this course, students should:
- Be able to identify and analyse the perceptions, interests, strategies and institutional conditions that shape and constrain the
behaviour of stakeholders.
- Understand the dynamics of multi-actor interaction processes in uncertain and highly politicised contexts.
- Understand information exchange in complex processes.
- Be able to cope with substantive and strategic uncertainties and to show this in description and application.
- Have developed knowledge, skills and competences on how to manage divergent and conflicting interests of stakeholders and
the ability to apply this in practice.
- Have developed competences on arriving at broadly-shared solutions.
- Understand the essentials of decision-making in multi-actor networks.
- Understand and apply theories on transition management and adaptive systems.
- Have acquired knowledge, skills and competences on arrangements and tools which support collaboration, and be able to apply
them.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Information Systems for the Construction Industry,CME4120,"Information Systems for construction Management (ISM) are part of the asset and construction management processes supported
by various tools, technologies involving the generation and management of digital representations of engineering assets.
The alternative view within this course is to not only represent physical, and functional characteristics of the engineering asset
(3D) but also represent so-called 'design for ty' information characteristics for the entire asset service life.
In this course the following concepts are addressed:
1. Building information modelling and design for ty's;
2. Geometric 3D computer modelling;
3. Constructability within information systems;
4. Maintainability within information systems;
5. Safety within information systems;
6. Sustainability within information systems;
7. ISM future outlook.
This course has a constructivist character, in which the student is guided and encouraged to develop open design knowledge &
solutions (openings) using the self-chosen Project of Interest (PoI) as a connective vehicle enabling the Open Design Learning
(ODL) response. The PoI is either being constructed or already been constructed (must have passed the initial phase)","Students must be able to:
1. understand state-of-the-art information systems concepts, principles and practices for a construction project;
2. examine and relate these abstract information systems for construction concepts;
3. rework and transform the project specific information systems concepts and insights;
4. form an individual judgement on these new insights;
5. create a response that integrates all concepts, (computer) models, new insights and developed results;
6. demonstrate the internalization process of the aforementioned learning and development goals and achievements.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Managing Uncertainty and Data,CME4150,"Construction Managers and Engineers have to make decisions on a daily basis. In some cases, the decisions are critical and can
cause a project to be successful or to fail. To ensure rational, unbiased decision-making, construction managers or engineers
should be able to observe and make sense of different types of data. They should be able to identify the data they need, the most
convenient manner of organizing or presenting the data so it can be better understood and the information they can safely derive
from the data. The last point is paramount because any dataset is associated with a given amount of uncertainty. In other words,
construction management implies making decisions in conditions of uncertainty, thus, identifying and incorporating such
uncertainty into the process will result in well-grounded decisions.
The course Managing Uncertainty and Data (MUD) will provide students with the knowledge and tools to adequately deal with
data and uncertainty to support their decision-making process during their professional development as construction managers
and engineers.
The topics presented in the MUD course can be classified into data- and uncertainty-related as follows;
DATA
Data collection: sensing and monitoring
Observation theory
Model-based data generation
Sensitivity analysis
UNCERTAINTY
Probability theory
Risk and reliability
Uncertainty quantification","By the end of this course, the student should be able to:
perform multivariate analysis of data to extract knowledge via data-driven approaches, modelling tools and uncertainty
quantification methods.
construct relevant probabilistic models, for example using bivariate distributions or discrete Bayesian Networks.
use risk and reliability analysis concepts to evaluate systems, their characteristics and behaviour to support decision-making
under uncertainty.
propose actions (short-term) or plans (long-term) to address specific construction and management-related problems based on an
adequate strategy for data and uncertainty management with a holistic vision of the course.
accept and relate the different backgrounds and prior knowledge of team members and utilize this multidisciplinarity to optimise
team performance and peer learning.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Intercultural Relations,CME4200,"This course introduces students to some theories on diversity and dimensions of national cultures as defined by Hofstede and
others. Through role-playing games and exercises the students engage with the theory and reflect on their own intercultural
experience and develop their cross-cultural sensitivity.
Departing from sociological and psychological theories on communication and in-group/out-group this course will treat themes
like diversity, inclusiveness and intercultural cooperation. It takes a dynamic and multifaceted approach to culture as its starting
point. A TOPOI analysis and writing assignment will be used as a test at the end of the course.","At the end of this course you will be able to...
(cid:9)point out the effects of globalization, realize and recognize the existence of different rationales, behaviours and cultures and you
will be aware of cultural heterogeneity.
(cid:9)apply the TOPOI model to assess and address the impact of these differences on interpersonal and intergroup interactions.
(cid:9)discover and discuss cultural dimensions in given social/organisational phenomena and events.
(cid:9)demonstrate cultural awareness by developing an appropriate attitude towards cross-cultural collaboration and communication in
given cultural contexts.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Engineering Asset Management,CME4300,"Engineering Asset Management (EAM) is a holistic approach to manage a system/portfolio of engineering assets (i.e., physical
objects) that enables a certain quality of services (QoS), overarching and/or encompassing the worlds of Project & construction
management and Operations & maintenance management (DBMO).
EAM strategically balances and designs these QoS performance levels between: (a) economic user demands; (b) ecologic capital
supply (c) isonomic organizational and financial means/support; embedded within a multi-stakeholders / multi-dimensional
tripartism system context (open-source).
EAM is integratively concerned with efficient and effective control and care of both one-off new engineering asset deliveries
(projects management) and continuously safeguarding the desired quality of service levels of existing in-service assets
(operations management) over the entire service life of the engineering assets base. These project and operations activities will
be integrated into a strategic asset management planning system using multi-criteria decision/design optimization modelling
(MCDO, open glass-box).
Finally, this course will introduce some of the following important EAM topics (1) systems safety (2) resilience (3)outsourcing:
a game of cooperation and (4) BIMSI asset management information.
The first alternative view within this course is to provide a integrative viewpoint on EAM where it is viewed as a cyclic socio-
eco purpose balancing act (economical, ecological, social).
The second alternative viewpoint is the use of a service provider for reflectively practice the integrative projects and service
management concepts into a multi-level strategic asset management plan.
The third alternative viewpoint, is that the SPoIs EAM systems will be improved and or appraised using the Open Design
principles: multi-criteria Open glass-box decision analysis/optimization , Open source systems theory, Open ended systems
thinking combined with Open loops management.
In this course the following concepts are addressed:
1.(cid:9)Your Service Provider of Interest (SPoI) and the Quality of Service (QoS)
systems concept (introduction to strategic engineering asset -, project- and
operations management and open design systems theory)
2.(cid:9)Zooming OUT the SPoIs embedding systems context and open-sources
stakeholder constraints/ regulations
3.(cid:9)Zooming IN the open socio-eco purpose EAM system, tripartism system modelling and
Open loops management (ODL, MI,MII))
4.(cid:9)Multi-criteria Quality of Service Decision Evaluation and Design optimization
(MCDA/ MCDO) - The Projects Management and/or Operations
Management solution space
5.(cid:9)Strategic Asset Management Planning (SAMP) integrating the Project &
Construction Management and the Operations & Maintenance
Management (the Project Delivery and the Service Operation Plan,: PDP and SOP)
6.(cid:9)Keeping the SPoI engineering assets Safe - Integral System Safety
7.(cid:9)Special EAM topics (1) Systems Resilience engineering (2)Outsourcing: a Game of
Cooperation (3) the BIMSI EAM information concept
For more course info see : https://www.open-design.school/
This course has a constructivist character, in which the student is guided and encouraged to develop open design knowledge &
solutions (openings) using the self-chosen Service Provider of Interest (SPoI) as a connective and practicing vehicle enabling the
Open Design Learning (ODL) response.
The SPoI can a transportation-, water management-, energy infrastructure and/or a real-estate system service provider.","Students should be able:
(cid:9)To understand and be familiarized with the EAM concepts, principles and practices, by dialoguing these with the constructors,
by navigating through the EAM reference books and by engaging to the SPoI.
(cid:9)To apply and relate these modellingEAM concepts, by dialoguing and experiencing these with the SPoI and the reflective
practice.
(cid:9)To (re)work this EAM knowledge, by transforming and linking the SPoI-dialogues into new openings/ learning insights.
(cid:9)To demonstrate and develop the personal outcome of the aforementioned learning goals, by internalizing the openings/ learning
achievements in an original ODL response integrating all (computer) models.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Entrepreneurial Engineering,CME4400,"The course deals with the entrepreneurial traits in the civil engineering domain. Students are introduced with innovation and
sustainability transition theories, new economy concepts and business concepts. They are challenged by 2 assignments how to
implement a technological innovation in the civil engineering market structure and processes.
The course consists of two cumulative modules:
Analysis module, in which you analyse the success of a retrospective innovation case as a group, informed by innovation and
transition theories and tools as your basis and inspired by relevant guest lectures from innovation experts from the civil
engineering practice.
Development module, in which you create a business plan for a real-time technological innovation as a group, informed by
business model innovation processes, transition and adaptation methods.","Finishing the course, that students are able to:
- Understand and analyse an innovation case, with innovation theory to identify the successes and failures on its adoption;
- Understand specific market structures of the civil engineering domain, the relations between public and private roles in this
domain, and the multifaceted reality thereof;
- Understand the market processes, specifically the public tendering processes for innovation-oriented projects;
- Analyse the technical aspects of a technology / innovation to identify the robustness and the alternative implementations
thereof;
- Analyse the operational context of the projected implementations of a technology;
- Create the role of your business in the pursuit of implementing the technology / innovation;
- Create an adaptive and embedding business plan (flexible and future oriented) for the case.
- From the perspective of a client or an established market party: be able to identify, stimulate, guide and embrace innovative
innovation concepts.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Systems Engineering Design,CME4481,"Systems Engineering Design (SED) is a powerful design approach to get from a semi-unstructured multi-stakeholder set of
vague and messy goals and needs to a well-defined set of requirements and complementary socio-technical systems. In this
course a best fit for common purpose design methodology to design for complex interconnected systems using multi-objective
optimization techniques. Within this approach both the subject preference function model (human) and the physical object
behavior model (engineering asset) will be integrated. In other words, to design socio-technical systems one needs a sound and
integrative mathematical approach (open glass box modelling) to support participatory decision making on new engineering
artefacts (open source participation and open ended system theory).
It will be demonstrated that this best fit for common purpose design methodology also can be used for Project management and/
or Operations management planning applications.
The alternative view within this course is to combine multi-objective (non-)linear systems optimization and the theory preference
function modeling in a constructivist design methodology, using mathematical simulation and modelling. This Open Design
Systems approach is distinctive from pure engineering optimization methods. Within this approach the main concepts of
systems design for tY-s, decision and development are linked with a self chosen System of Interest (SoI):
1.(cid:9)Systems theory and thinking and design as problem (dis)solving;
2.(cid:9)Hard engineering asset systems (technical-physical) vs. soft human management
systems (social);
3.(cid:9)A posteriori multi-actor design decision systems;
4.(cid:9)A priori multi-actor design decision systems;
5.(cid:9)Non-linearity in mathematical models for design/decision systems;
6.(cid:9)Best fit for common purpose.
For more course info see : https://www.open-design.school/
This course has a constructivist character, in which the student is guided and encouraged to develop open design knowledge &
solutions (openings) using the self-chosen System of Interest (SoI) as a connective and practicing vehicle enabling the Open
Design Learning (ODL) response.
The SoI can a transportation-, water management-, energy infrastructure and/or a real-estate system.","(cid:9)To be familiarized with and understand state-of-the art systems engineering management systems concepts, principles and
practices, by (i) dialoguing these with the constructors, (ii) navigating through the system engineering management reference
documents and (iii) engaging to a self-chosen real-life System of Interest (SoI).
(cid:9)To relate and examine these abstract systems engineering management concepts, by (i) constructing SoI specific (computer)
models, (ii) dialoguing with these models and (iii) experiencing these with the SoI and its reflective practice.
(cid:9)To rework and transform the SoI specific systems engineering management concepts observations, by (i) transforming and
linking the dialogues and experiences into new insights and (ii) developing improvement results where applicable.
(cid:9)To form an individual judgement and appraise these new insights/results by means of a conspection between these and the
original concepts within the specific context of the SoI.
(cid:9)To create an original Open Design Learning (ODL) response that (i) integrates all concepts, (computer) models, new insights and
developed results and (ii) demonstrates the internalization process of the aforementioned learning goals and conveys the ODL
achievements.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Engineering Systems Optimisation,CME4500,"Engineering Systems Optimization (ESO) provides future managers of engineering systems with the knowledge and tools
required in their professional development to support a quantitative, model-based and multi-criteria decision-making process
with an objective view of the information that supports the decision.
The overall goal of the ESO course is to enable students to create solutions to optimize the design and/or management of real
engineering processes and systems, making meaningful decisions with consideration of the trade-off between the level of
abstraction of the mathematical model used to represent the engineering problem, limitations of the optimization methods and
the trust in the obtained solution. Finally, this course enables students to apply these optimization methods and programming
techniques for future model-based graduation projects
In this course the following concepts are addressed:
1. The optimization concepts (near-optimal solution, Pareto optimality, NP-Hard problems, etc.);
2. Problem-solving techniques and methods applied in the pursuit of improved decision-making and efficiency (e.g., linear, mix-
integer linear, and non-linear optimization, (meta)heuristics).
3. Multi-objective optimization with consideration of objective and subjective information.
4. Value of a priori and a posteriori information in the decision-making process in the presence of competing objectives.
5. Applications to engineering design and decision-related problems, such as resource allocation problems, facility location,
supply chain management, project production activities, scheduling and structural design.
Note: the ESO course is compulsory for CME students that follow the E&S specialization. Moreover, this course is highly
recommended for students who are interested in developing their Masters thesis on solving problems of construction
management and engineering using a quantitative model-based approach.","The student should be able to
Translate an engineering-related problem as a goal-oriented mathematical optimization model, through a 4-step process (i.e.,
problem, model, method, and solution).
Formulate a mathematical optimization model that represents an engineering-related problem with meaningful criteria for the
selection of variables, objective function, and constraints, considering the implications of the search method and optimal
solution, applied to a realistic Case Study.
Evaluate the quality of different exact and (meta)heuristic methods to provide a valid solution for the optimization model in
different contexts (i.e., research-oriented goals versus daily-practice goals), with consideration of the trade-off between
computational time and quality of the solution, applied to a realistic Case Study using a programming platform (Matlab).
Develop solutions to support multiple criteria decision-making in the optimization process through multi-objective optimization.
Elaborate strategies for the optimal design and/or management of real engineering systems based on a holistic perspective of the
engineering system optimization (i.e., capabilities and limitations of methods and models) and the trade-off between the level of
abstraction of the model and the trust in the obtained solution.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
Leadership and Strategic Management,CME4600,"The climate emergency, rapid urbanisation and resultant need to provide more affordable housing quickly, along with the
urgency to transform our food, water, energy and waste infrastructure are key societal and sustainability transitions of our time.
Furthermore, technological advancements in the digital space and the changing demographics are also demanding a rethink in
the ways organisations function. Moreover, successive crises such as the Global Financial Crisis in the late 2000s and the more
recent Covid-19 Global Pandemic have triggered calls for radical change. Put another way, if we keep doing what we have
always done, then we will always get the (unsustainable) results that we have always gotten. Thus, there is a need to do things
differently, and this is where leadership and strategic management can play a significant role.
In tackling the societal and sustainability transitions highlighted above, simply relying on technical knowledge is not enough.
These transition challenges are wicked problems, where simple solutions and incremental change are not sufficient. To address
these transitions, there is also a need to inspire people from different backgrounds to activate radical change in our actions.
Leadership skills are therefore critical to influence others to take the path less travelled. In addition, projects are increasingly
considered and commissioned as drivers of change. Therefore, leadership is deeply connected to the delivery of projects.
The key topics of this course include:
a. Context: Understanding the context of leadership and strategy in transitions;
b. Leadership theories: Complementing management and leadership, and shifting the mindset from planning and control
(outputs) to influencing change and transformation (outcomes);
c. Strategic management: Shifting the framing from strategy formulation and (long-term) planning to purpose-driven
implementation and strategy-as-practice;
d. Creativity and innovation: Shifting towards more open forms of innovation, and the role leadership and organisational strategy
can play;
e. Communication and negotiation: Understanding the power of communication and negotiation practices to influence outcomes;
f. Values and impacts: Critically reflecting on the value, values and impacts of leadership and strategic management.","The aim of this course is to enable students to develop their leadership skills and knowledge about strategic management of
engineering projects. The intended learning outcomes include: (a) to develop critical awareness of leadership theories and apply
these appropriately in analysing their personal leadership preferences; (b) to explain the significance and process of leadership in
influencing others to achieve beneficial outcomes in the management of projects; (c) to develop critical awareness and
knowledge of the strategic role that project managers and project management play in supporting wider organisational change
outside of the boundaries of the project organisation, and; (d) to develop knowledge of the management of projects as a value
creating process that translates policies and strategies into practice.",Master,Civil Engineering and Geosciences,Master Construction Management and Engineering,
